address,postcode,price,bedrooms,bathrooms,area_in_sqft,link
"1021 N  Woodington Rd, Baltimore, MD 21229",21206,239000,3,2,1200,https://www.trulia.com/home/1021-n-woodington-rd-baltimore-md-21229-36507757
"1721 Cole St, Baltimore, MD 21223",21214,170000,3,2,NaN,https://www.trulia.com/home/1721-cole-st-baltimore-md-21223-36520455
"117 S  Calverton Rd, Baltimore, MD 21223",21214,10000,NaN,NaN,NaN,https://www.trulia.com/home/117-s-calverton-rd-baltimore-md-21223-36527779
"1251 Sargeant St, Baltimore, MD 21223",21215,210000,3,3,1172,https://www.trulia.com/home/1251-sargeant-st-baltimore-md-21223-36533353
"10 E  Lee St #904, Baltimore, MD 21202",21215,190000,1,2,1079,https://www.trulia.com/home/10-e-lee-st-904-baltimore-md-21202-36535217
"1218 William St, Baltimore, MD 21230",21239,450000,3,4,2504,https://www.trulia.com/home/1218-william-st-baltimore-md-21230-36538997
"1203 Hull St, Baltimore, MD 21230",21230,315000,2,2,1220,https://www.trulia.com/home/1203-hull-st-baltimore-md-21230-36542055
"1306 Towson St, Baltimore, MD 21230",21230,384900,2,3,1354,https://www.trulia.com/home/1306-towson-st-baltimore-md-21230-36542168
"2360 Washington Blvd, Baltimore, MD 21230",21230,145000,3,2,1680,https://www.trulia.com/home/2360-washington-blvd-baltimore-md-21230-36546731
"2212 Annapolis Rd, Baltimore, MD 21230",21230,79950,3,1,1008,https://www.trulia.com/home/2212-annapolis-rd-baltimore-md-21230-36548647
"6524 Detroit Ave, Baltimore, MD 21222",21230,208000,4,2,1282,https://www.trulia.com/home/6524-detroit-ave-baltimore-md-21222-36557425
"3926 E  Pratt St, Baltimore, MD 21224",21234,135000,2,2,1170,https://www.trulia.com/home/3926-e-pratt-st-baltimore-md-21224-36561468
"5204 Barbara Ave, Baltimore, MD 21206",21231,310000,4,3,1890,https://www.trulia.com/home/5204-barbara-ave-baltimore-md-21206-36565942
"3545 Cliftmont Ave, Baltimore, MD 21213",21224,190000,4,2,1680,https://www.trulia.com/home/3545-cliftmont-ave-baltimore-md-21213-36572463
"4725 Luerssen Ave, Baltimore, MD 21206",21213,389000,7,NaN,2826,https://www.trulia.com/home/4725-luerssen-ave-baltimore-md-21206-36576897
"3111 Northway Dr, Baltimore, MD 21234",21218,215000,3,2,1672,https://www.trulia.com/home/3111-northway-dr-baltimore-md-21234-36583867
"6529 Hilltop Ave, Baltimore, MD 21206",21211,259900,3,2,1605,https://www.trulia.com/home/6529-hilltop-ave-baltimore-md-21206-36584582
